
Warning: PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /lib/php/extensions/no-debug-non-zts-20250925/pdo_pgsql (dlopen(/lib/php/extensions/no-debug-non-zts-20250925/pdo_pgsql, 0x0009): tried: '/lib/php/extensions/no-debug-non-zts-20250925/pdo_pgsql' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/lib/php/extensions/no-debug-non-zts-20250925/pdo_pgsql' (no such file), '/lib/php/extensions/no-debug-non-zts-20250925/pdo_pgsql' (no such file)), /lib/php/extensions/no-debug-non-zts-20250925/pdo_pgsql.so (dlopen(/lib/php/extensions/no-debug-non-zts-20250925/pdo_pgsql.so, 0x0009): tried: '/lib/php/extensions/no-debug-non-zts-20250925/pdo_pgsql.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/lib/php/extensions/no-debug-non-zts-20250925/pdo_pgsql.so' (no such file), '/lib/php/extensions/no-debug-non-zts-20250925/pdo_pgsql.so' (no such file))) in Unknown on line 0

Warning: PHP Startup: Unable to load dynamic library 'pgsql' (tried: /lib/php/extensions/no-debug-non-zts-20250925/pgsql (dlopen(/lib/php/extensions/no-debug-non-zts-20250925/pgsql, 0x0009): tried: '/lib/php/extensions/no-debug-non-zts-20250925/pgsql' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/lib/php/extensions/no-debug-non-zts-20250925/pgsql' (no such file), '/lib/php/extensions/no-debug-non-zts-20250925/pgsql' (no such file)), /lib/php/extensions/no-debug-non-zts-20250925/pgsql.so (dlopen(/lib/php/extensions/no-debug-non-zts-20250925/pgsql.so, 0x0009): tried: '/lib/php/extensions/no-debug-non-zts-20250925/pgsql.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/lib/php/extensions/no-debug-non-zts-20250925/pgsql.so' (no such file), '/lib/php/extensions/no-debug-non-zts-20250925/pgsql.so' (no such file))) in Unknown on line 0

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-07-06 15:06:04 /api/me .................................... ~ 506.06ms
  2026-07-06 15:06:05 /api/me ...................................... ~ 0.11ms
  2026-07-06 15:06:05 /api/me .......................................... ~ 2s
  2026-07-06 15:06:07 /api/me .......................................... ~ 1s
  2026-07-06 15:06:09 /api/unidades/listar/urbanus ................. ~ 0.15ms
  2026-07-06 15:06:09 /api/unidades/listar/urbanus ................. ~ 0.88ms
  2026-07-06 15:06:09 /api/unidades/listar/urbanus ..................... ~ 2s
  2026-07-06 15:06:11 /api/unidades/listar/urbanus ..................... ~ 2s
  2026-07-06 15:06:33 /api/unidades/detalle/urbanus/003 ............ ~ 1.14ms
  2026-07-06 15:06:33 /api/checklists .............................. ~ 0.16ms
  2026-07-06 15:06:33 /api/checklists .............................. ~ 1.09ms
  2026-07-06 15:06:33 /api/unidades/detalle/urbanus/003 ................ ~ 2s
  2026-07-06 15:06:33 /api/checklists .................................. ~ 9s
  2026-07-06 15:06:34 /api/checklists ................................. ~ 15s
  2026-07-06 15:06:41 /api/unidades/listar/URBANUSS .................... ~ 8s
  2026-07-06 15:06:50 /api/unidades/listar/URBANUSS ................ ~ 1.19ms
  2026-07-06 15:06:50 /api/unidades/listar/URBANUSS .................... ~ 1s
  2026-07-06 15:06:52 /api/unidades/listar/URBANUSS .................... ~ 2s
  2026-07-06 15:07:43 /api/despacho/conteo-unidades ................ ~ 0.59ms
  2026-07-06 15:07:43 /api/despacho/conteo-unidades ................ ~ 0.02ms
  2026-07-06 15:07:43 /api/despacho/conteo-unidades .................... ~ 2s
  2026-07-06 15:07:45 /api/despacho/conteo-unidades .................... ~ 1s
  2026-07-06 15:09:45 /api/unidades/listar/urbanus ................. ~ 1.13ms
  2026-07-06 15:09:45 /api/unidades/listar/urbanus ................. ~ 1.66ms
  2026-07-06 15:09:45 /api/unidades/listar/urbanus ..................... ~ 1s
  2026-07-06 15:09:46 /api/unidades/listar/urbanus ..................... ~ 2s
  2026-07-06 15:09:48 /api/unidades/detalle/urbanus/005 ............ ~ 0.15ms
  2026-07-06 15:09:48 /api/checklists .............................. ~ 1.18ms
  2026-07-06 15:09:48 /api/checklists .............................. ~ 1.54ms
  2026-07-06 15:09:48 /api/unidades/detalle/urbanus/005 ................ ~ 1s
  2026-07-06 15:09:48 /api/checklists .................................. ~ 3s
  2026-07-06 15:09:49 /api/checklists .................................. ~ 3s
  2026-07-06 15:09:51 /api/unidades/listar/URBANUSS .................... ~ 1s
  2026-07-06 15:09:53 /api/unidades/listar/URBANUSS ................ ~ 0.84ms
  2026-07-06 15:09:53 /api/unidades/listar/URBANUSS ................ ~ 0.64ms
  2026-07-06 15:09:53 /api/unidades/listar/URBANUSS .................... ~ 2s
  2026-07-06 15:09:53 /api/unidades/listar/URBANUSS .................... ~ 3s
  2026-07-06 15:09:54 /api/unidades/listar/URBANUSS .................... ~ 3s
